Timestamp,Full Name,Email,Stellar Wallet Address,Rating (1-5),What features would you like to see next?
2026-06-11 10:14,Vedang Bahirat,vedang.b@example.com,GDQICJC3H4D5J6K7L8M9NPQRSTE23456CD7890ABCDEFGHJKLMNOPQ,5,The Mainnet toggle is super clean. Looking forward to email notification reminders.
2026-06-11 14:05,Rajesh Das,rajesh.d@example.com,GCK2O3PTU6D4J5K6L7M8N9PQRS123456T7890ABCDEFGHJKLMNO,5,Invoice PDF downloads work perfectly. Very fast on mainnet.
2026-06-12 09:22,Vaibhavi Agale,vaibhavi.a@example.com,GALWWEQT7SQ3H4D5J6K7L8M9NPQR1234567890ABCDEFGHJKLM,5,Great UX! Switching networks from Settings is very intuitive.
2026-06-12 11:45,Aravind Deshmukh,aravind.d@example.com,GCRA6GCH52D3J4K5L6M7N8PQRS901234567890ABCDEFGHJK,4,Need local tax calculation support. Love the quick wallet connect.
2026-06-13 16:30,Tanmay Tadd,tanmay.t@example.com,GAYJALHTMQ2H3D4J5K6L7M8N9PQRS1234567890ABCDEFGH,5,Fantastic product. Gasless payments save a lot of UX friction.
2026-06-14 10:15,Sunita Agarwal,sunita.a@example.com,GD5QVXCBA5H3H4D5J6K7L8M9NPQR1234567890ABCDEFGH,5,The dashboard charts load instantly. Very premium neomorphic layout.
2026-06-14 15:44,Khushi Nagare,khushi.n@example.com,GANYZ3QKUD3J4K5L6M7N8PQRS901234567890ABCDEFGHJ,5,Love the transaction history layout. Works seamlessly on freighter mobile app too.
2026-06-15 11:20,Shantanu Udhane,shantanu.u@example.com,GCNHSCETBSU2H3D4J5K6L7M8N9PQRS1234567890ABCDEF,4,Excellent speed. Would be great if we could add custom client fields.
2026-06-16 13:05,Sneha Pathak,sneha.p@example.com,GDZF4G2UHQ3H4D5J6K7L8M9NPQR1234567890ABCDEFGH,5,I paid an invoice with USDC on mainnet. The polling verified it in 3 seconds!
2026-06-16 17:12,Omkar Nanavare,omkar.n@example.com,GBAFATQKHXO2H3D4J5K6L7M8N9PQRS1234567890ABCDE,5,Perfect invoicing system. Dynamic network toggle works like a charm.
2026-06-18 10:45,Thanchan Bhumij,thanchan.b@example.com,GDHPNSBJKJ63H4D5J6K7L8M9NPQR1234567890ABCDEFGH,5,The new PDF export is very clean. Highly recommend for any freelancer.
2026-06-20 12:10,Mrunal Ghorpade,mrunal.g@example.com,GAGKWD336FFX2H3D4J5K6L7M8N9PQRS1234567890ABCD,5,Everything is fully operational. On-chain validation behaves excellently.
2026-06-21 15:30,Yash Annadate,yash.a@example.com,GBWDGDGFDAE3H4D5J6K7L8M9NPQR1234567890ABCDEF,4,Would love to see some integration with accounting tools like QuickBooks.
2026-06-22 09:15,Rajas Badade,rajas.b@example.com,GA2EA5VDF3O2H3D4J5K6L7M8N9PQRS1234567890ABCD,5,Invoicing flows are solid and the fee sponsorship is exactly what Stellar needed.
2026-06-23 14:02,Akshaya Awasthy,akshaya.a@example.com,GCNHSCQOZID3J4K5L6M7N8PQRS901234567890ABCDEF,5,Professional dashboard. Fast, gasless, and premium look.
