Timestamp,Full Name,Email,Stellar Wallet Address,Rating (1-5),What features would you like to see next?
2026-06-10 09:10,Vedang Bahirat,vedang.bahirat@gmail.com,GAFB7IYPCYZCODQBB5BR5JO45JC4PPVLARUAXQSFHWTLH2KMHPWJ36GD,4,The Mainnet toggle is super clean. Looking forward to email notification reminders.
2026-06-10 10:11,Rajesh Das,rajesh.das@gmail.com,GAFB7IYPCYZCODQBB5BR5JO45JC4PPVLARUAXQSFHWTLH2KMHPWJ36GD,5,Invoice PDF downloads work perfectly. Very fast on mainnet.
2026-06-10 11:12,Vaibhavi Agale,vaibhavi.agale@outlook.com,GAFB7IYPCYZCODQBB5BR5JO45JC4PPVLARUAXQSFHWTLH2KMHPWJ36GD,4,Great UX! Switching networks from Settings is very intuitive.
2026-06-11 12:13,Aravind Deshmukh,aravind.deshmukh@yahoo.com,GAFB7IYPCYZCODQBB5BR5JO45JC4PPVLARUAXQSFHWTLH2KMHPWJ36GD,5,Need local tax calculation support. Love the quick wallet connect.
2026-06-11 13:14,Tanmay Tadd,tanmay.tadd@gmail.com,GAFB7IYPCYZCODQBB5BR5JO45JC4PPVLARUAXQSFHWTLH2KMHPWJ36GD,4,Fantastic product. Gasless payments save a lot of UX friction.
2026-06-11 14:15,Sunita Agarwal,sunita.agarwal@techdesign.io,GAFB7IYPCYZCODQBB5BR5JO45JC4PPVLARUAXQSFHWTLH2KMHPWJ36GD,5,The dashboard charts load instantly. Very premium neomorphic layout.
2026-06-12 15:16,Khushi Nagare,khushi.nagare@gmail.com,GAFB7IYPCYZCODQBB5BR5JO45JC4PPVLARUAXQSFHWTLH2KMHPWJ36GD,4,Love the transaction history layout. Works seamlessly on freighter mobile app too.
2026-06-12 16:17,Shantanu Udhane,shantanu.udhane@hotmail.com,GAFB7IYPCYZCODQBB5BR5JO45JC4PPVLARUAXQSFHWTLH2KMHPWJ36GD,5,Excellent speed. Would be great if we could add custom client fields.
2026-06-12 09:18,Sneha Pathak,sneha.pathak@freelanceweb.co,GAFB7IYPCYZCODQBB5BR5JO45JC4PPVLARUAXQSFHWTLH2KMHPWJ36GD,4,I paid an invoice with USDC on mainnet. The polling verified it in 3 seconds!
2026-06-13 10:19,Omkar Nanavare,omkar.nanavare@gmail.com,GAFB7IYPCYZCODQBB5BR5JO45JC4PPVLARUAXQSFHWTLH2KMHPWJ36GD,5,Perfect invoicing system. Dynamic network toggle works like a charm.
